material_id,name,formula
mp-1177869,Li2V3CoO8 (mp-1177869),Li2V3CoO8
mp-1177872,Li2Ni5O9 (mp-1177872),Li2Ni5O9
mp-1177877,Li2MnVP2(O4F)2 (mp-1177877),Li2MnVP2(O4F)2
mp-1177735,Li3Fe2(P2O7)2 (mp-1177735),Li3Fe2(P2O7)2
mp-1177738,Li3Fe2P2(CO7)2 (mp-1177738),Li3Fe2P2(CO7)2
mp-1177742,Li3Mn3CoO8 (mp-1177742),Li3Mn3CoO8
mp-1177749,Li2VOF3 (mp-1177749),Li2VOF3
mp-1177753,Li3(FeO3)2 (mp-1177753),Li3(FeO3)2
mp-1177761,Li3Fe2(CoO4)2 (mp-1177761),Li3Fe2(CoO4)2
mp-1177764,Li3Mn4(P2O7)4 (mp-1177764),Li3Mn4(P2O7)4
mp-1177767,Li2VFeP2(HO5)2 (mp-1177767),Li2VFeP2(HO5)2
mp-1177772,Li3Cr2Fe3O10 (mp-1177772),Li3Cr2Fe3O10
mp-1177775,Li2VSi2O7 (mp-1177775),Li2VSi2O7
mp-1177781,Li2VFe(P2O7)2 (mp-1177781),Li2VFe(P2O7)2
mp-1177782,Li2VFe3O8 (mp-1177782),Li2VFe3O8
mp-1177679,Li3Fe2(SiO4)2 (mp-1177679),Li3Fe2(SiO4)2
mp-1177681,Li3Fe8(BO3)8 (mp-1177681),Li3Fe8(BO3)8
mp-1177688,Li3Fe4(P2O7)4 (mp-1177688),Li3Fe4(P2O7)4
mp-1177698,Li3Mn2(P2O7)2 (mp-1177698),Li3Mn2(P2O7)2
mp-1177699,Li3Mn3CrO8 (mp-1177699),Li3Mn3CrO8
mp-1177704,Li3Fe3O8 (mp-1177704),Li3Fe3O8
mp-1177706,Li3Fe3WO8 (mp-1177706),Li3Fe3WO8
mp-1177711,Li3Co2Si3O10 (mp-1177711),Li3Co2Si3O10
mp-1177714,Li3Cr4(PO4)6 (mp-1177714),Li3Cr4(PO4)6
mp-1177718,Li3Fe2P2(CO7)2 (mp-1177718),Li3Fe2P2(CO7)2
mp-1177722,Li3Co2Ni3O10 (mp-1177722),Li3Co2Ni3O10
mp-1177732,Li3Co2(SiO4)2 (mp-1177732),Li3Co2(SiO4)2
mp-1177785,Li3Mn4(P2O7)4 (mp-1177785),Li3Mn4(P2O7)4
mp-1177787,Li2VF6 (mp-1177787),Li2VF6
mp-1177790,Li2VF6 (mp-1177790),Li2VF6
mp-1177791,Li2VF6 (mp-1177791),Li2VF6
mp-1177792,Li2VF4 (mp-1177792),Li2VF4
mp-1177797,Li2VF6 (mp-1177797),Li2VF6
mp-1177798,Li2VF5 (mp-1177798),Li2VF5
mp-1177800,Li2VCr3O8 (mp-1177800),Li2VCr3O8
mp-1177801,Li2VCr3O8 (mp-1177801),Li2VCr3O8
mp-1177805,Li2V4CuNiO12 (mp-1177805),Li2V4CuNiO12
mp-1177806,Li2VCO5 (mp-1177806),Li2VCO5
mp-1177831,Li2V2(PO4)3 (mp-1177831),Li2V2(PO4)3
mp-1177888,Li3Mn4(P2O7)4 (mp-1177888),Li3Mn4(P2O7)4
mp-1177892,Li2Ni3(BO3)3 (mp-1177892),Li2Ni3(BO3)3
mp-1177921,Li2MnF4 (mp-1177921),Li2MnF4
mp-1177925,Li2Mn2(PO4)3 (mp-1177925),Li2Mn2(PO4)3
mp-1177928,Li2MgCo3O8 (mp-1177928),Li2MgCo3O8
mp-1177929,Li2MgCo3O8 (mp-1177929),Li2MgCo3O8
mp-1177934,Li3V8O16 (mp-1177934),Li3V8O16
mp-1177935,Li2Mn3CoO8 (mp-1177935),Li2Mn3CoO8
mp-1177943,Li2FeO2 (mp-1177943),Li2FeO2
mp-1177947,Li2FePCO7 (mp-1177947),Li2FePCO7
mp-1177952,Li2FeBAsO7 (mp-1177952),Li2FeBAsO7
mp-1177959,Li2MnV(PO4)3 (mp-1177959),Li2MnV(PO4)3
mp-1177967,Li2FeCoO4 (mp-1177967),Li2FeCoO4
mp-1177968,Li2FeSnO4 (mp-1177968),Li2FeSnO4
mp-1177893,Li2MnV3O8 (mp-1177893),Li2MnV3O8
mp-1177895,Li2MnV(PO4)3 (mp-1177895),Li2MnV(PO4)3
mp-1177898,Li2MnFeO4 (mp-1177898),Li2MnFeO4
mp-1177902,Li2MnP2O7 (mp-1177902),Li2MnP2O7
mp-1177903,Li2MnF4 (mp-1177903),Li2MnF4
mp-1177905,Li2MnP2O7 (mp-1177905),Li2MnP2O7
mp-1177907,Li2MnV4CoO12 (mp-1177907),Li2MnV4CoO12
mp-1177908,Li2MnPCO7 (mp-1177908),Li2MnPCO7
mp-1177909,Li2MnV(PO4)3 (mp-1177909),Li2MnV(PO4)3
mp-1177912,Li3Fe2(P2O7)2 (mp-1177912),Li3Fe2(P2O7)2
mp-1177916,Li2MnCr3O8 (mp-1177916),Li2MnCr3O8
mp-1177918,Li2Mn3(BO3)3 (mp-1177918),Li2Mn3(BO3)3
mp-1178046,Li2Co(CO3)2 (mp-1178046),Li2Co(CO3)2
mp-1178060,Li2(FeO2)3 (mp-1178060),Li2(FeO2)3
mp-1178064,Li2(CoO2)3 (mp-1178064),Li2(CoO2)3
